Rank   ,Player                      ,P    ,W    ,D    ,L    ,  %      ,Teams
1.     ,Eric Cochran                ,9    ,9    ,0    ,0    ,100.00   ,CA
2.     ,Brian Dunsford              ,7    ,7    ,0    ,0    ,100.00   ,ME
3.     ,Jack Galbally               ,7    ,7    ,0    ,0    ,100.00   ,CW
4.     ,Billy Gill                  ,7    ,7    ,0    ,0    ,100.00   ,GE
5.     ,Henry Anderson              ,6    ,6    ,0    ,0    ,100.00   ,FI
6.     ,Geoff Barber                ,5    ,5    ,0    ,0    ,100.00   ,ES
7.     ,Alan Shaw                   ,5    ,5    ,0    ,0    ,100.00   ,ES
8.     ,Len Delfs                   ,5    ,5    ,0    ,0    ,100.00   ,SY
9.     ,Jock Morison                ,5    ,5    ,0    ,0    ,100.00   ,CW
10.    ,George Shaw                 ,5    ,5    ,0    ,0    ,100.00   ,FI
11.    ,Ray Jamieson                ,5    ,5    ,0    ,0    ,100.00   ,SY
12.    ,Garry Wheeler               ,5    ,5    ,0    ,0    ,100.00   ,WB
13.    ,Noel Mewett                 ,5    ,5    ,0    ,0    ,100.00   ,CA
14.    ,Ian Graham                  ,5    ,5    ,0    ,0    ,100.00   ,ES
15.    ,Roy Rawlings                ,4    ,4    ,0    ,0    ,100.00   ,WB
16.    ,George Watson               ,4    ,4    ,0    ,0    ,100.00   ,FI
17.    ,Eddie Ford                  ,4    ,4    ,0    ,0    ,100.00   ,RI
18.    ,Richie Thomas               ,4    ,4    ,0    ,0    ,100.00   ,ES
19.    ,Ray Quinn                   ,4    ,4    ,0    ,0    ,100.00   ,CA
20.    ,Herb Boschen                ,4    ,4    ,0    ,0    ,100.00   ,SY
21.    ,Allan Hope                  ,4    ,4    ,0    ,0    ,100.00   ,ME
22.    ,Wally Edward                ,4    ,4    ,0    ,0    ,100.00   ,ES
23.    ,Rupe Benstead               ,4    ,4    ,0    ,0    ,100.00   ,ES
24.    ,Shane Crothers              ,4    ,4    ,0    ,0    ,100.00   ,GE
25.    ,Wally Koochew               ,4    ,4    ,0    ,0    ,100.00   ,CA
26.    ,Jim Neylan                  ,4    ,4    ,0    ,0    ,100.00   ,FI/CA
27.    ,Con Kennedy                 ,4    ,4    ,0    ,0    ,100.00   ,ES
28.    ,Mac Armstrong               ,4    ,4    ,0    ,0    ,100.00   ,GE
29.    ,Peter Marshall              ,4    ,4    ,0    ,0    ,100.00   ,CW
30.    ,Rory Atkins                 ,4    ,4    ,0    ,0    ,100.00   ,AD
31.    ,Dan Robinson                ,4    ,4    ,0    ,0    ,100.00   ,SY
32.    ,Josh Cowan                  ,4    ,4    ,0    ,0    ,100.00   ,GE
33.    ,Jarryd Allen                ,4    ,4    ,0    ,0    ,100.00   ,SK
34.    ,Peter Warburton             ,4    ,4    ,0    ,0    ,100.00   ,CA
35.    ,Bob Wilson                  ,4    ,4    ,0    ,0    ,100.00   ,ES
